customer_id,signup_date,plan_type,monthly_fee,acquisition_cost,churn_date
1001 ,2024-11-07,BA#SIC,50,NA,NA
1002,2024-06-06,Bas-ic,50,30,NA
1003,2024-12-31,Basic ,50 ,30,NA
1004,2024-11-21,.Pro,200,100,NA
1005,2024-08-16 ,Pro,200,100,NA
1006 ,2024-11-10,NA,50,30,NA
1007,2024-03-12,Enterprise,500,200,NA
1008,2024-11-09,Pro,200,NA,NA
1009 ,2024-08-16,Pro,NA,100,NA
1010 ,2025-04-07 ,pro,200,100,NA
1011,2025-03-31,Ba$sic,50,30,NA
1012,2025-02-24,NA,500,200,NA
1013,2025-04-03,+Pr^o,200,100,NA
1014,2025-03-22,Enterpr%ise,500,200,NA
1015,2025-04-02 ,Pro,200,100,NA
1016,2024-08-02 ,Enterp%r*ise ,500,200,NA
NA,2024-05-06,pro ,200 ,100,NA
1018,2024-03-31,Pro,200,NA,NA
1019 ,2024-06-29,NA,NA,30,NA
1020,2024-10-13,NA,200,100,2025-05-08
1021 ,2024-04-29,Pro,200,100 ,NA
1022,2024-03-22,Enter+prise,500 ,200,NA
1023,2024-12-15,B.asic,50,30,2025-06-23
1024,2024-10-22,+Bas-ic,50,30,NA
1025,2024-03-13 ,En&terprise,500,200 ,NA
1026,2025-03-27,Pro,NA,NA,2025-06-10
NA,2024-06-12,Pro,200,100 ,NA
NA,2025-01-13,Enterprise,500,200,NA 
1029,2025-06-25,Ente$rpri#se,500,200,NA
1030,2024-11-18,Ent_erpri&se,NA,200,NA 
1031,2024-04-08,.Pro,200,100,2024-12-14
1032,2025-02-04,Pro,NA,100,NA
1033,NA,Bas&ic ,50,30,NA
1034,2024-04-06,Basic,50,30,2025-04-06
1035 ,2024-07-31,Basic,50,30,2025-05-02
NA,NA,enterprise,500,200,NA
1037,2024-11-30 ,Pro,200,100,NA
1038,2024-01-28,E*nterpris_e,NA,200,NA
1039,2025-04-22,Basic,50,30,NA
1040,2024-05-16 ,^Enterprise,500,200,NA
1041,2024-06-21,Pro,NA,100,NA
1042 ,NA,Pro,200,100,2025-03-19
1043,2025-01-27,ENTERPRISE,500,200,2025-03-11
1044,2025-02-28,Pro,200,100,NA
1045,2025-06-30,Pro,200 ,100,NA 
1046,2024-09-18,Pro,200,100,NA
1047,2025-01-05 ,basi)c ,50,30,NA
1048,2024-08-25,Enterpr+ise,500,200,NA
NA,NA,Pro,200,100,NA
1050 ,2024-06-30,)Pro,200,100,NA
1051 ,2025-01-10,Pro ,200,100,NA
1052,2024-05-03,Basic,50,30,NA
1053 ,2024-12-15,Enterprise ,500,200 ,NA
1054,NA,Pr.o,200,100,NA
1055,2024-03-30,NA,500,200 ,NA
1056,2024-10-12,P&ro,200,100,2024-12-15
1057,2024-04-05,Basic,50,30,NA
1058,2025-06-03,Enter$prise ,500,200,NA
1059,2024-02-05,Enterprise,500,200,NA
1060 ,2025-03-31,Basic,50,30,2025-06-10
1061,2025-02-08,B@asic,NA,30,NA
1062,2025-05-13,Pro,200,100,2025-06-12
1063,2024-07-28,Pro,200,100,NA
1064,2025-05-02,NA,50,30,NA
1065,2024-07-25,Enterprise,NA,200,NA
1066 ,2024-12-10,Enterp$ri.se,NA,200,NA
1067,2025-02-23,En*te!rprise,500,200,NA
1068 ,NA,!Pro,200,100,NA
1069,2024-02-16,enterpri(se,500,200,NA
1070,2024-01-10,%Pro,200,100,NA
NA,2024-11-15,Enterpri+se,500,200,NA 
NA,2025-02-24,Pro,NA,100,NA
1073 ,2024-01-08,Enterprise,500,200 ,NA
1074,2024-08-09,Ente_rprise,500,200,2025-05-13
NA,2024-10-14,Enterprise,NA,200,2025-06-25
1076,2024-12-26,Enterprise,500 ,NA,NA
NA,2024-06-04,Basic,50,30,NA
1078,2024-09-21,Ba#sic,50,30,NA
1079,2024-03-17,Basic ,50,30,NA
NA,2024-02-22,Enterprise,500,200,NA
1081,2024-07-01,NA,50 ,30,NA
1082,2025-03-20,Pro,200,100,NA
1083,2024-10-02,Pro,200,100,NA
1084,2024-01-02,Bas@ic,50,30,NA 
1085,2024-10-24,Basic,50,NA,2025-05-21 
NA,2024-01-29,NA,500,200,NA 
1087,2024-07-19,Enter.p_rise,NA,200,NA
1088 ,2025-01-13,P.ro,200,100,NA
1089,2024-06-12,Bas)ic,50,30,NA
1090,NA,Enterprise,500,200,NA
1091,2024-07-31,.P.ro,200,100,NA
1092,2024-05-22,pro ,200,100 ,NA
1093,2024-07-29,Pro,200 ,100,NA
1094,NA,Ente_rprise,500,200,NA
1095 ,2024-05-09,E!nterpris-e,500,200,2024-08-11
1096,2025-06-10,E(nterprise,500,200,NA
1097,2024-05-26,Ent$erpr#ise,500,200,NA
1098,2025-01-02,Enterprise,500,200,NA
1099,2025-01-21,Enterprise,500,200 ,NA
1100 ,2024-05-20,Enterprise,500,200,NA
1101,2024-09-06,enter*pri-se,500,200,NA
1102,2025-06-25,Pr(o,200,100 ,NA
1103,2024-03-04,Basic,50,30,NA 
1104 ,2024-03-07 ,P@ro ,200,100,NA
1105,2025-01-29,Basic,50,30,NA
NA,2024-07-25,Pro,NA,100,NA
1107,2024-02-19,pro,200,100,NA
NA,2024-11-19,Pro,200,100,NA
NA,2024-06-06,Pro,200,100,NA
1110,2024-11-28,Basic,50,30,NA
1111 ,2025-04-18,P*ro,200,100 ,NA
1112,2024-03-12,Enterprise,500,200,NA
NA,NA,Basic,50 ,30 ,NA
1114,2024-01-29,BASIC,50,30,NA
1115 ,2024-10-19,Enter#prise,500,200,NA
1116,2025-05-19,Basic,50,30,NA
1117,2024-01-10,Pro,200,100,NA 
1118,2024-11-03,PRO,200 ,100,NA
1119,2024-07-26,Enterprise,500,NA,2025-04-22
NA,2024-08-19,NA,NA,200,2025-03-15
1121,2025-01-10,+Enterprise,500,200,NA
1122,2025-05-17,PRO,200,100,NA
1123,2025-06-23,#Bas)ic,50,30,NA
1124,2024-09-06,Basic,50,30 ,NA
1125,2024-08-25,ENTERPRISE ,500,200,2025-01-21
1126,2024-12-08,PRO,200,100 ,NA
1127,2025-03-11,Basic,50 ,30,NA
