,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,post_release,usage_pk
0,usage_0,S-38131a,2023-06-22,feature_25,14,3782,2,False,False,id-FuaHuk
1,usage_1,S-712e69,2023-10-02,feature_30,8,2553,0,True,False,id-SiDRWt
2,usage_2,S-9c09cb,2023-04-19,feature_13,13,1860,0,False,False,id-rdVzVE
3,usage_3,S-2dbf26,2024-08-05,feature_33,9,834,2,False,False,id-hCRTmz
4,usage_4,S-d114e2,2023-06-29,feature_4,9,1300,1,False,False,id-XlQHIy
5,usage_5,S-f52c97,2024-06-06,feature_31,10,3218,0,False,False,id-KHnesf
6,usage_6,S-c4c9ce,2024-03-30,feature_4,8,696,0,False,False,id-CMKoax
7,usage_7,S-973e8e,2024-08-02,feature_30,14,7329,0,False,False,id-SGSfdS
8,usage_8,S-ce5450,2023-06-05,feature_7,5,2324,1,True,False,id-hRjJfW
9,usage_9,S-a3927a,2025-01-12,feature_8,7,2034,0,False,False,id-xBBSXm
10,usage_10,S-f429e0,2024-06-24,feature_14,11,1231,0,True,False,id-jxWYMU
11,usage_11,S-d232ad,2023-04-11,feature_33,9,2605,0,False,False,id-vkjUkz
12,usage_12,S-2245c0,2023-05-13,feature_17,12,2375,1,True,False,id-ZJDnWe
13,usage_13,S-f8e69c,2024-06-27,feature_5,11,19,1,False,False,id-MExJVc
14,usage_14,S-d33d84,2024-10-05,feature_10,12,2457,3,False,False,id-cqpJMo
15,usage_15,S-9a1297,2023-09-19,feature_11,5,1418,0,False,False,id-bjpZiB
16,usage_16,S-4ad7b1,2023-08-30,feature_16,8,4723,1,False,False,id-FTfggi
17,usage_17,S-7d4d45,2024-02-11,feature_6,4,1210,0,True,False,id-LaONnr
18,usage_18,S-74be40,2024-04-19,feature_23,7,1296,1,False,False,id-vAIoJt
19,usage_19,S-5480a7,2023-09-08,feature_32,17,6474,1,False,False,id-njGhec
20,usage_20,S-a3cbd4,2024-03-10,feature_1,15,10175,0,False,False,id-bFBQbS
21,usage_21,S-149409,2023-05-06,feature_11,8,4202,1,False,False,id-FXCUBy
22,usage_22,S-2756ac,2024-03-06,feature_38,5,442,1,False,False,id-fgSMvn
23,usage_23,S-66f0d0,2024-02-29,feature_33,17,2456,0,False,False,id-LhVYpa
24,usage_24,S-bb1cf1,2024-05-18,feature_31,11,4100,0,False,False,id-SPLsLd
25,usage_25,S-606d6d,2024-04-22,feature_29,10,1155,2,False,False,id-ijnNyL
26,usage_26,S-cfb886,2023-04-12,feature_31,8,367,0,False,False,id-TFLdqV
27,usage_27,S-02508a,2024-09-12,feature_27,10,3099,3,False,False,id-IABBxU
28,usage_28,S-97df3f,2024-07-04,feature_8,11,4736,0,False,False,id-OOgzSp
29,usage_29,S-14b7f3,2024-06-10,feature_27,11,7904,0,False,False,id-poRLIT
30,usage_30,S-09c1df,2023-03-31,feature_28,7,791,1,False,False,id-wGpEnK
31,usage_31,S-7bcd95,2024-01-28,feature_15,7,3501,0,False,False,id-EWwZyQ
32,usage_32,S-eaa2c2,2023-11-18,feature_19,13,3906,1,False,False,id-oyerNO
33,usage_33,S-f7b0e0,2024-11-24,feature_34,14,1436,0,False,False,id-EQXGrL
34,usage_34,S-5c3f50,2024-08-08,feature_19,9,2838,0,False,False,id-VVNYkQ
35,usage_35,S-343642,2023-04-14,feature_21,10,6568,0,False,False,id-jSsUEt
36,usage_36,S-dbe1b3,2023-09-07,feature_35,6,393,0,False,False,id-ZnXrHJ
37,usage_37,S-6aa20b,2023-10-27,feature_6,6,1225,0,False,False,id-zLoBxi
38,usage_38,S-ea5984,2023-06-20,feature_6,11,2244,2,False,False,id-XeSCIo
39,usage_39,S-f52fd6,2023-04-11,feature_35,16,7563,0,True,False,id-nAYPKa
40,usage_40,S-8fd696,2023-02-14,feature_30,8,770,1,False,False,id-HLOior
41,usage_41,S-f2710b,2025-01-16,feature_11,6,5683,2,False,False,id-NvvznL
42,usage_42,S-76b43f,2023-03-19,feature_1,12,4364,0,False,False,id-WqicJI
43,usage_43,S-bd1912,2023-03-31,feature_33,9,4550,0,False,False,id-vdEwBv
44,usage_44,S-711820,2023-11-17,feature_18,13,7782,0,True,False,id-amchza
45,usage_45,S-cf44af,2024-01-30,feature_23,9,772,0,False,False,id-nVUnOv
46,usage_46,S-383fc5,2024-03-19,feature_39,11,1416,0,False,False,id-yqJmPT
47,usage_47,S-dcde3f,2024-07-07,feature_26,6,1996,0,True,False,id-hFilhi
48,usage_48,S-0b059f,2023-06-10,feature_14,22,6591,3,False,False,id-tGNnjc
49,usage_49,S-9dcef8,2023-03-30,feature_29,11,4261,4,True,False,id-nUWWaY
50,usage_50,S-02b3a1,2023-10-20,feature_37,9,3257,0,True,False,id-ZbSoMV
51,usage_51,S-4e4ab7,2024-03-08,feature_2,11,2864,1,False,False,id-abUQuL
52,usage_52,S-bbafad,2023-02-24,feature_19,9,843,1,False,False,id-IxVmMD
53,usage_53,S-597873,2023-11-06,feature_33,8,1240,0,True,False,id-luKKKv
54,usage_54,S-2843fe,2025-01-05,feature_31,15,3055,1,False,False,id-xnWecv
55,usage_55,S-e8776c,2023-05-19,feature_6,14,7009,2,False,False,id-ljgMAq
56,usage_56,S-ab152e,2024-04-24,feature_12,3,1197,0,False,False,id-ctKXza
57,usage_57,S-2223bf,2023-12-16,feature_4,14,3847,2,False,False,id-AKTJlu
58,usage_58,S-5281ee,2023-05-29,feature_35,9,465,0,False,False,id-QVrwfB
59,usage_59,S-79ab7e,2024-07-22,feature_24,11,2611,2,False,False,id-JIOAbE
60,usage_60,S-6ee6c9,2024-06-30,feature_24,12,7168,4,False,False,id-MskrHq
61,usage_61,S-c53808,2023-12-30,feature_6,7,1344,0,False,False,id-OGYNZP
62,usage_62,S-4e4ef4,2024-05-13,feature_25,8,2121,0,False,False,id-vogbor
63,usage_63,S-d9e0d1,2024-09-28,feature_25,8,5032,0,False,False,id-DFdVeU
64,usage_64,S-b7f657,2023-09-09,feature_9,9,884,0,False,False,id-GChamC
65,usage_65,S-07abdd,2023-06-07,feature_9,9,635,0,False,False,id-hxOssI
66,usage_66,S-41d4ca,2023-07-26,feature_14,11,3866,1,False,False,id-pYaJLV
67,usage_67,S-a2aa70,2023-09-07,feature_26,9,2102,2,False,False,id-gDTylK
68,usage_68,S-4e00a0,2023-10-26,feature_11,10,2119,0,False,False,id-OJzwcG
69,usage_69,S-a50803,2023-05-28,feature_39,19,7165,1,True,False,id-Gwibmy
70,usage_70,S-f16bb2,2024-05-15,feature_6,12,4416,0,False,False,id-yWknrw
71,usage_71,S-694aa7,2023-03-06,feature_13,9,399,0,False,False,id-oTkbwE
72,usage_72,S-2ccc04,2025-01-19,feature_13,13,801,0,False,False,id-TmqyQA
73,usage_73,S-c7f2e5,2024-09-02,feature_32,13,1700,1,False,False,id-UjAXeZ
74,usage_74,S-5a500d,2023-10-18,feature_31,15,4552,0,False,False,id-BIOLMB
75,usage_75,S-c19e74,2025-01-16,feature_21,10,1588,0,False,False,id-HDCwcd
76,usage_76,S-0bdbb3,2023-08-22,feature_36,7,4094,0,False,False,id-cukYkH
77,usage_77,S-51924b,2023-06-22,feature_14,8,3148,0,False,False,id-BALPDY
78,usage_78,S-eb4b0a,2024-01-15,feature_25,10,1150,0,False,False,id-mhoWzC
79,usage_79,S-4f5c94,2024-06-04,feature_20,11,6290,1,True,False,id-MCifxr
80,usage_80,S-a67e83,2024-03-21,feature_24,11,1948,0,False,False,id-ptWpTv
81,usage_81,S-2c9cea,2024-03-05,feature_1,11,4019,0,False,False,id-nVIheq
82,usage_82,S-6aa20b,2023-12-04,feature_1,13,9090,0,False,False,id-EyyKUh
83,usage_83,S-da0c62,2023-11-13,feature_13,8,1600,5,False,False,id-GtQETA
84,usage_84,S-7d651b,2024-03-12,feature_22,13,7439,0,False,False,id-gXmCmj
85,usage_85,S-6d0817,2024-02-15,feature_34,10,2890,1,False,False,id-EAQHHc
86,usage_86,S-f6ca9e,2024-04-21,feature_34,10,6126,0,False,False,id-aLcKvU
87,usage_87,S-595693,2023-09-28,feature_10,15,6893,0,False,False,id-CLDuLJ
88,usage_88,S-b2b1b9,2023-04-30,feature_25,14,3608,0,False,False,id-NFeulE
89,usage_89,S-4977c8,2024-05-14,feature_22,7,2314,3,False,False,id-BnVtPI
90,usage_90,S-5da6e7,2024-11-14,feature_6,12,8103,0,False,False,id-FMKokx
91,usage_91,S-a603dd,2023-06-07,feature_6,10,5805,0,False,False,id-HuQRgQ
92,usage_92,S-3d0e5c,2023-02-16,feature_16,8,996,0,False,False,id-vgLhTy
93,usage_93,S-11dba6,2023-02-19,feature_34,15,6870,2,False,False,id-jvvQzU
94,usage_94,S-7bd2d7,2023-10-30,feature_6,14,2072,0,False,False,id-VKPmKi
95,usage_95,S-fc8f09,2023-07-17,feature_28,16,8305,0,False,False,id-rNNHoQ
96,usage_96,S-e41457,2023-03-17,feature_28,9,1043,0,False,False,id-FMZQGd
97,usage_97,S-7f92bd,2023-06-16,feature_26,8,2572,3,False,False,id-qrbnwO
98,usage_98,S-3e8283,2023-07-09,feature_39,16,6083,1,False,False,id-lhPmEO
99,usage_99,S-f72b84,2025-01-03,feature_1,10,4308,1,True,False,id-tjVQXk
100,usage_100,S-d3613b,2023-09-22,feature_40,13,6181,0,False,False,id-VnUrrt
101,usage_101,S-c9e261,2023-03-07,feature_10,11,2836,2,False,False,id-khdvfI
102,usage_102,S-3bb28f,2023-05-18,feature_16,9,737,3,False,False,id-cguDro
103,usage_103,S-a113a2,2023-08-12,feature_16,11,2752,0,False,False,id-pDRBMM
104,usage_104,S-5a2a05,2024-05-22,feature_6,9,1662,0,False,False,id-KfuCnT
105,usage_105,S-1fabe5,2023-08-10,feature_17,9,507,0,False,False,id-mhOcDF
106,usage_106,S-f32731,2023-09-23,feature_13,7,383,0,False,False,id-xHrHKu
107,usage_107,S-791c64,2024-04-10,feature_22,10,1720,0,False,False,id-YAxyaU
108,usage_108,S-2f07f6,2023-11-18,feature_4,12,3035,0,False,False,id-pzjWBK
109,usage_109,S-180ae3,2023-11-16,feature_39,8,1180,0,False,False,id-QXONmA
110,usage_110,S-3445f5,2023-05-25,feature_16,8,5475,0,False,False,id-HTQbNt
111,usage_111,S-2f138c,2023-05-16,feature_19,11,4358,0,False,False,id-BHHZwC
112,usage_112,S-012ab9,2024-09-21,feature_34,11,7644,0,False,False,id-UEjMbJ
113,usage_113,S-eef0cd,2025-02-08,feature_14,8,4638,0,False,False,id-IIOirI
114,usage_114,S-f0a2e5,2024-03-11,feature_1,7,242,0,False,False,id-UUeDUP
115,usage_115,S-7077ab,2024-11-23,feature_37,8,4774,0,False,False,id-qsJNoU
116,usage_116,S-fd12a3,2023-05-16,feature_28,6,2887,2,False,False,id-apxJqF
117,usage_117,S-0b80b4,2024-07-12,feature_14,18,3354,2,False,False,id-qTJoOn
118,usage_118,S-505db5,2024-05-06,feature_12,14,4910,0,False,False,id-gpTEsz
119,usage_119,S-951de6,2023-10-06,feature_27,14,7307,0,False,False,id-LbrcIQ
120,usage_120,S-fe2139,2024-08-21,feature_27,9,6758,0,False,False,id-UYZhAB
121,usage_121,S-108caf,2024-03-04,feature_28,11,5465,0,False,False,id-gCIjaO
122,usage_122,S-93ab2d,2023-07-17,feature_31,10,5714,3,True,False,id-gsbaul
123,usage_123,S-61e53d,2023-01-08,feature_2,9,4855,0,False,False,id-zFickz
124,usage_124,S-752e61,2023-02-17,feature_28,11,2020,0,False,False,id-kEeVdo
125,usage_125,S-9efd1b,2024-09-30,feature_27,7,575,2,True,False,id-NVAKra
126,usage_126,S-2923fc,2024-12-27,feature_7,10,1839,2,False,False,id-WWtHZK
127,usage_127,S-012ab9,2024-07-27,feature_19,7,2075,0,False,False,id-swURKH
128,usage_128,S-370135,2024-10-24,feature_3,10,817,0,False,False,id-TORiuS
129,usage_129,S-71cefe,2023-04-18,feature_13,8,675,0,False,False,id-DxmycP
130,usage_130,S-cc80ee,2024-12-17,feature_15,13,3919,0,False,False,id-xzNUkb
131,usage_131,S-d57a67,2024-04-16,feature_7,14,1718,0,True,False,id-GNDWQY
132,usage_132,S-a9ca9b,2024-07-05,feature_40,12,1400,1,False,False,id-WNDiTD
133,usage_133,S-515485,2023-08-03,feature_16,10,2313,1,False,False,id-RiksXL
134,usage_134,S-3cae3d,2024-11-20,feature_28,12,6604,0,False,False,id-BNnQxQ
135,usage_135,S-882f1d,2024-07-11,feature_13,12,4570,0,False,False,id-jPybFx
136,usage_136,S-4dfd17,2023-03-25,feature_20,6,1444,0,False,False,id-rAkrtY
137,usage_137,S-096835,2023-05-17,feature_38,12,8457,0,False,False,id-IBeOaJ
138,usage_138,S-f9e2ca,2024-06-15,feature_27,17,8605,0,True,False,id-MnyjMh
139,usage_139,S-fc65aa,2024-09-19,feature_8,12,3107,0,False,False,id-rmLfDv
140,usage_140,S-3d8c2f,2024-01-15,feature_25,11,4114,2,False,False,id-XTacEB
141,usage_141,S-a0e1dc,2023-09-30,feature_16,14,2826,1,False,False,id-JwDYeU
