churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-816288,A(-c37ca*b,2024-10-27,pricing,4.03,FALSE,FALSE,NA,switch.ed to &competit(or
%C-)5a8*1e7,A-37f969 ,2024-06-25,support,96.45,TRUE,FALSE,FALSE,NA
C-#a174be,A-b07346,2024-11-12,budget,0,FALSE,FALSE,FALSE,miss)ing ^fe&atures
C-accb39,A--1e50e0,2023-11-01,!budge$t,54.94,FALSE,FALSE ,FALSE,switched to com@petitor
C-92f889,A-95698^8 ,2024-12-30,unknown,0,FALSE ,TRUE,TRUE,to-o e-xpensive
!C-a8ac2%6,A-b20d99,2024-03-04,featu*res,0,FALSE,FALSE,FALSE,missing f^eatures 
NA,a-526d93 ,2024-07-10,fea*t*ures,34.4,true,false,false,na
C-ee531b,A-751bd4,NA,budget,0,FALSE,FALSE,FALSE,NA
C-e6a0f-0,A-^ccabf0 ,2024-10-31,features,0,FALSE,FALSE ,FALSE,too e%xpensive
C.-9328ba,A-0a62f5 ,2024-10-10,features,0,FALSE,FALSE,FALSE,swit+ched to competitor
C+-c89493,A-!3ce5b8,2024-09-18,_f(eatur-es,261.49,FALSE,FALSE ,FALSE,too expensi)ve
C-c54ef0,A-3b5cd1,2024-08-30,unk)nown,77.87,FALSE ,FALSE ,FALSE,missin&g features
NA,a-bcf66-4,2024-08-08,com!petitor,0,false,false,false,na
C-875d-c.5,A-b9f5b1,2023-07-21,fea_ture&s,0,FALSE,NA,FALSE,switched to #com)pet.itor
%C-c-8f7b4,A-0dbdc6,2024-04-14,pr_icing,175.02,FALSE,FALSE,FALSE,too expensive
C-865$f19,A-c9b(b3e,2024-07-29 ,NA,0,FALSE,FALSE,FALSE,s%witched to compe&t^itor
C-102614,A-96e1%41,2024-07-22,-budget,NA,FALSE,FALSE,FALSE,too expensive
C-4ab0e2,NA,2024-09-08,supp@ort,0,TRUE,FALSE,FALSE,m%issing fe.atures
C-742a59,A-.81&2c!5b,2024-05-11,support,11.83 ,FALSE,FALSE,FALSE,mi&ssing features
)C-1f9cf2,A-(1e50e_0 ,2024-04-26,pricing,0,NA,FALSE,FALSE ,switched to^ competitor
C-5d5a64,A-c70870,2024-12-13,competitor,0,FALSE ,FALSE,FALSE ,switched to competi@tor
C-f81017,NA,2024-08-09,features ,0,FALSE,FALSE,TRUE,miss@in!g feature@s
C)-3292be,A-5)92832 ,2024-10-04,$suppo&rt,22.66,FALSE,FALSE,FALSE ,switched (to competi@to)r
C-e582ea,+A-180abf,2023-12-04,support,0,FALSE,FALSE,FALSE,NA
C-100b97,A-0a*282f,2024-10-06,features,0,FALSE,FALSE,FALSE,)switched% )to competitor
C-8843.d4,A-e@5)1ec7,NA,su)pport ,0,NA,FALSE,NA,missing fea!tures
C-8b3048,A-0^34368,2024-08-29,fe*atur#es,0,TRUE,NA,FALSE,NA
C-&48f456 ,*A@-8b*de0c ,2024-11-28,feature$s,0,FALSE,FALSE,FALSE,missing features
C-dcdebc,A-(08e34e,2024-07-13,competi+tor,225.18,FALSE,FALSE,FALSE,switched to c)ompetitor
C-8b229b,A-44dc83,2024-11-29,unknown,98.48,FALSE,TRUE,NA,miss-ing featu@res
C(-7d13bf,A-78f$02b,2024-12-02,unkno%wn,0,FALSE,NA,FALSE ,missing features
C-*78a_2bb,A(-fce879,2024-12-03,NA,0,TRUE,FALSE,FALSE,NA
C-935f48,A-34ea2f,2024-10-05,u_nknown,0,TRUE,FALSE,FALSE,NA
C-366a49,A-0%b#aac2,2024-12-24,un_kno.w-n,68.65,FALSE,FALSE,FALSE,)s#wit_ched% to c.ompetitor
C-62_e7a3,A-ac85cd,2024-10-20,NA,83.94,FALSE,FALSE,NA,NA
C-F3*ACA2,A-439B2F,2024-11-18,FE_ATU^RES,0,FALSE ,FALSE,FALSE,SWITCHED TO COMPETITOR
C-3b%7c60,A-#0f64*50,2024-12-29,compet&itor,0,FALSE,FALSE ,FALSE,missing feature*s
C-73!6efa,A-&b78bf8,2024-12-06,unknown,0,FALSE,NA,FALSE,NA
