...1,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,post_release,usage_pk
NA,us)age_0 ,+S-3^8!131a,1970-01-20,feature_25,14,3782,2,FALSE,FALSE,id-mhvGVa
NA,usage_1,S-@712e69,1970-01-20,NA,8,2553,0,TRUE ,NA,id-wEGRwf
2,usage_2,NA,1970-01-20,featur-e_1$3 ,13,1860 ,0,FALSE,FALSE,id-utfBZF
3,NA,S-2*dbf(26,1970-01-20,fea$tur$e_33 ,9,834 ,NA,FALSE,FALSE,i(d-DjAePJ
4,usag+e_4,S-d114e2,1970-01-20,featu-re_4,9,1300,1,FALSE,FALSE,id-feqx_jE
5,usage(_5 ,S-f52c9(7,NA,feat.ure_31,10,3218,0,FALSE ,FALSE,id-_opdYIT
6,usage_6 ,S-c4-c9ce,1970-01-20,feature_4,8,696,0,FALSE,FALSE,id-m_FLHNW
7,-usage_7,S@-973e8e,1970-01-20,feature__30,14,7329,0,FALSE ,FALSE,id-qZATAI
8,usage_8,NA,1970-01-21,f$eature_7,5,2324,1,TRUE,FALSE,id-GDVCvN
9 ,usage_9,S-a3927a,1970-01-20,featu+re_8,7,2034,0,FALSE,FALSE ,i-d-ka&j(YQ$J
10,usage_*10,S-f+429e0,1970-01-20,featu(re_14 ,11,1231,NA,TRUE,FALSE,id+-mMCaWD
11,usage_11,S%-d232ad,1970-01-20,fea.ture_33,9,NA,0,FALSE,FALSE,id-v_bCtdU
12,*usage_12,!S-2245c^0,NA,feature_17,12,2375,1 ,TRUE,FALSE,id-NSzEWC
13,USAGE_@13,S-F8E69C ,1970-01-20,FEA#TURE_5,11,19,NA,FALSE,FALSE ,ID-ODHJID
14 ,u)sage_14,S-_d#33d84,1970-01-20,feature_%10,12 ,2457,3,FALSE,FALSE,id-g)MkiJ%Q 
15,usage_!15,S-9a1297,1970-01-21,fe#ature_11,5,1418 ,0 ,FALSE,FALSE,id-Emenqb
