App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Phot_o Editor & Candy !Camera & Grid. & ScrapBook,A+RT_AND_DESIGN,4.1 ,159,NA,"10,000&+ ",Free,0,NA,Art &^ De!sign,"January 7, 20.18",NA,4.0.3 and up
Coloring book moana,NA,3.9,967,1@4M,"500,000.+",NA,0,Everyone,A(rt & Desig^n;Pretend P_lay,"January 15, 2018",2.0.0,4.0).3 a$nd up
"U %L!auncher Lite – FREE( Live Cool Themes, #Hi$de Apps",ART_AND_DESIGN,4.7,87510,8.7M,".5,000,000+",Fre(e,0 ,%Everyone,Ar_t & Design,"A-ugust 1, 2018",1.2.@4,NA
Sketch% - Draw &$ Pa-in*t,ART_AND_DES%IGN,4.5,215644,25M ,"50),000,000+ ",NA,0,+Teen,A%r)t & Des$ign,"June $8, 2018",V$arie$s with device,4.2 and u*p
Pixel$ Draw - +N_u@m-b_er Art Coloring Book,ART_AND_DES@I)GN,4.3,967,^2.8M,"100,000+",Free,0 ,-Everyone,NA,"June 20, 2018",NA,4.*4 and up
Pa.per flowers instructions,ART_&AND_^DESI&GN,NA,167,NA,NA,Free,0,Everyo-ne ,Art & Des#ign,"March 26, 2017",1.0,2.3 and up
Smoke Effect Photo Ma.ker. - Smok&e +Editor,A&RT_AND_DESIGN,3.8,178,1)9M,"50,000+",Free,0 ,Everyone,Art & Design,NA,NA,4.0.3 -a#nd up
In$fi.n^it*e @Pain&ter,ART_AND__DESI$GN,4.1 ,36815 ,29M,"1,000,000+",Fre@e,0 ,NA,Art & Design,"June )1_4, 2018",6.1@.61.1,4.2 and !up 
G$ar-d*e&n Coloring Book,ART_AND_DE.SIG@N,4.4,13791,33M,"1,000,000%+",Free,%0,Everyone,Art &* Design,"September 20,$ -2017",2.9.2,3.0 and up
Kids Paint Fr+ee - Drawing Fun,NA,4.7,121,3.1M,"10,000+",Free,NA,Ev.ery@one,NA,"July ^3,$ 2018",2.8,4.0.3 and up
Text on Photo - Fonteee,ART_AND^_DESIGN ,4.4,13880,28M,".1,000,000*+",Free,0,Everyone,Art & Design,"@Octobe.r &2.7, 2017",1.0.4,4.1 )and up
Name Ar&t ^Photo Ed#it@or - Focus n Fi@lters ,ART_AND_DESIGN,4.4,8788,!12M,")1,^000,000+",Fre%e,0,NA,Art & De&sign,"July 31, 2018",1.0.15,4.0 and up
Tattoo N)ame On My P@hoto Edito.r,AR@T_AND_DESIGN,4.2,44829,NA,"10,&000!,000+",#Fr&ee,0,Teen,Art. & +Desig)n,"April 2, 2018 ",NA,4.1 and u#p 
Mandala@ Coloring B&ook,AR$T_&AND_+DES^IGN,NA,4326 ,NA,"10-0,000+",F!r^ee,0,NA,*Art & De+sig#n ,"June# +26,$ 2018",1.0.4,NA
