...1,usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,usage_day,synthetic
0,U-1c6^c24,S-0fcf7d,2023-07-27,feature_20,9,NA,0,FALSE,2023-07-27,FALSE
NA,U-f07cb8,S-c25263,2023-08-07,feature*_5,9,369 ,0,FALSE ,NA,FALSE
2,U-0.968!07,S&-f29e7!f,2023-12-07 ,feature_3,9,1458,0,FALSE,NA,FALSE
3,.U-6b1580,S(-be655e,2024-07-28,feature_40,5 ,2085 ,0,FALSE,NA,FALSE
4,U-720a29,S%-f9b1d0,2024-12-02 ,NA,12,NA,0,NA,2024-12-02,FALSE
5,U-c5692d,S-e958ba,2023-10-31 ,feature_14,11 ,4103,0,FALSE,2023-10-31,FALSE
NA,U-+7*078db,S-0c9fdd,2023-09-20,featu_r&e_34,8,2016,2,FALSE,2023-09-20,FALSE
7,U-)a60033,S-4e4ab7,2023-06-05,NA,10,5470 ,0,FALSE,NA,FALSE
8,U-5cd930,$S-a3a1c1,NA,featur^e_&1#8,9,5067,1,FALSE,2024-02-20,FALSE
9,U-e.bb375 ,S-9e450b,2023-02-09,feature%_28,6,NA,0,FALSE,2023-02-09,NA
10,U-a7)c89&a,S-!367^3f2,2024-08-25,NA,9,NA,NA,FALSE,2024-08-25,FALSE
NA,U-.779058,S-afed2d,2023-11-03,fea.ture_35,10,5200,0,TRUE,NA,FALSE
12,$u-f65bb^a,s-3@dc46b,2024-07-14,NA,5,930,1,false,2024-07-14 ,false 
13,U-4de1d3,NA,2023-08-22,f$ea_ture_25 ,8,2480,0,FALSE ,2023-08-22,FALSE
14,U-935818 ,S-9ce22d,2023-05-22,fe.ature_35,17,901 ,0,FALSE,2023-05-22,FALSE
15,U-028_6e!4,S--4d#ae4f,2023-12-09,feature_4,10,4610,NA,FALSE,2023-12-09,FALSE
16,U-9+9f042,S-527*2ff ,2023-10-11,featu+re_4,12,4884,2,FALSE,2023-10-11,FALSE
17,U@-a66f10,S#-e3dff3,2024-04-04,feature_40,14,4872,0,FALSE,2024-04-04,FALSE
18 ,U-805be4,S-c23126,2023-03-23 ,feat&ure_24,5,2055,3,FALSE,2023-03-23,NA
19 ,U-138675,S-813cdc,2023-07-30,$feature_37,5,960,0,FALSE,2023-07-30,NA
20,U-77404*d,S-6c969d,2024-08-31,feat)u_re_3,9,5022,0,FALSE,2024-08-31,FALSE
21,U-80c1c1,S-da^c-c!80,2023-11-29,fe_ature!_7,9,432,0,FALSE,2023-11-29,FALSE
22,U-2+5@b56c,S-810!c27 ,2024-10-06,feature_20,7 ,231,0,FALSE,2024-10-06,FALSE
23,+U-184e0^c,S-fcb9$54 ,2023-04-15,feature#_1!5,8,856 ,0,NA,2023-04-15,FALSE
24,U-97d46f,S-d111f5,2023-04-13,!feature_%30,10,5240,0,FALSE,2023-04-13 ,FALSE
25,U-78201)6,NA,2023-04-08,feature_39,8,NA,1,FALSE,2023-04-08,FALSE
26,NA,S-7d9605,2023-12-03,feat.u%re_19,13,5980,0,FALSE ,2023-12-03,FALSE
27,U-0ae9d5,S-6c$e794,2023-02-25,feature_12,8,1416,1,FALSE,2023-02-25 ,FALSE
28,NA,^S-0@4.1624 ,2024-02-20,NA,9,3456,2,FALSE,2024-02-20,FALSE
29 ,U-093baa ,$S-7dab19,2023-11-19,NA,6,540 ,2,FALSE,2023-11-19,FALSE
30,U-7fbb0f,S-b3071c,2023-01-01,NA,11,1573 ,0,FALSE,2023-01-01,NA
31,NA,S-d&e#9b4b,2024-03-24,feature_21,9,5256,NA,FALSE ,2024-03-24,FALSE
NA,U-a5433-e,S-f0081e,2023-03-02,fe^atu(re%_1,14,2324,1,NA,2023-03-02,FALSE
33,U-54d795 ,S-0c$47cb,2024-12-17,feature_4 ,14,1190,0,TRUE ,2024-12-17,FALSE
34,U-4ccaa4,S-5d5%a8d,2023-04-24,feature-_22,6,1344,0,FALSE,2023-04-24,FALSE
35,U-492*E99,NA,2023-12-22,FEATURE_38,9,2430,0 ,FALSE,2023-12-22,FALSE
36,U-e@d08bd ,S-6*c7bd8,2024-10-10,$feature_40,7,2464 ,0 ,FALSE,2024-10-10,FALSE
37,U-ba2bf3 ,S(-8b52b5,NA,featur(e_1(9,9,441,0,FALSE ,2024-03-24 ,FALSE
38,U-@4978ea,S-3947da,2023-04-13,feature__29,5,1000,1,TRUE,2023-04-13,FALSE 
39,U-7f9bc8,S-1ad713 ,2024-04-19,featur^e_39,14,7952,0,TRUE,2024-04-19,FALSE
40,U-624d#96,S-0493#28,2023-12-29 ,feat@ure_38,7,2653,NA,TRUE,2023-12-29 ,FALSE
41,U-d652f1,S^-64acb8,2023-08-25,feature_5 ,10,540,0,FALSE,2023-08-25 ,FALSE
42,NA,S--6c969d,2024-02-07,feature_19,7,NA,0,TRUE ,2024-02-07,FALSE 
43,U-804bf8,S--8c9649,2023-01-13,feature_14,5,2985,0,FALSE,2023-01-13,FALSE
44,U-d2)e9b7,S-c2168a,NA,feature_18,6,2166,1,FALSE,2023-01-04,FALSE
45,U-9a5f52,S-0283b5,NA,feature_1)4,6,NA,0,FALSE,2023-02-02,FALSE
46,U-a6%a7c!7,S-1bf26_7,2024-06-02,NA,9,2664,1,FALSE,2024-06-02,FALSE
47,U%-#3e5e^83,S-a37653,2023-03-15,NA,14,4368,0,FALSE,NA,FALSE 
48,U-708d27,S-ec690c,2023-08-15,feature_-22,8,NA,2,TRUE,2023-08-15,FALSE
49,U-0abd90,S-d)e7a48,2024-01-03 ,feature_23,7,1778,0 ,FALSE,2024-01-03,FALSE
50,U-7d32fc,S-e7e4bd,2024-12-03,feature_37,8 ,2824,NA,FALSE,2024-12-03,FALSE
51 ,NA,S-31428b,2023-02-16,fe!ature_24,6,2412 ,0,TRUE,2023-02-16,FALSE 
52 ,U-ba&50ee,S-51924b,2023-02-04,f(eature_4,12,5064,0 ,FALSE,2023-02-04 ,FALSE
53,U-aac036,S-10fc7d,2024-08-06,fea_ture_37,12,216,0,FALSE,2024-08-06,FALSE 
54,U-9df047,S-e)ea643,2024-02-12,feature_37,NA,5316,0,FALSE,NA,FALSE
55,U-029a51,S-8c118d,2023-03-02 ,featur-e_5,6,3384,1,FALSE,2023-03-02,FALSE 
56,)U-680b9d,S%-e702a4,2024-03-25,f.eature_#31,11,3014,0,FALSE ,2024-03-25,NA
57,U-(1314b8,NA,NA,fea)tu@re_.16,6,2970,3,FALSE,2024-12-13,FALSE
58,U-46c99c,S-0%1+bbff ,2023-10-01,feature_9,NA,3192,0,FALSE,2023-10-01,FALSE
59,U-e580fe,S-3673f2,2024-08-06,feature_19,9,2871,0 ,FALSE,2024-08-06,FALSE
60,U-50e5b9,S-c1f%8e1,2024-12-16,NA,10,2350,1,FALSE,2024-12-16,NA
61,%U-83a6c5,S-4(31c03,NA,featu#re_26,13,6591,0,FALSE,2023-01-03,FALSE
62,U-545d$0c,S-58ab69,2024-01-22,f*eature_11,13,4511,0,FALSE,2024-01-22,FALSE
63,NA,*S-3@bdedd,2023-01-09,fea%ture_14 ,7,1183,0,FALSE,2023-01-09,FALSE
64,U-b232f!4,NA,2023-01-12,NA,8,4080 ,0,NA,2023-01-12,FALSE
65,NA,S-53361d,2024-01-24 ,NA,8,2128,3,FALSE,2024-01-24,FALSE
66,U-7*00b4b,_S-44c^5dd,2024-02-05,f*eature_12,6 ,1782,NA,FALSE,NA,FALSE
67,*U-385a00 ,S-b14$7.b9 ,2024-04-15,NA,13,3445,2,FALSE,2024-04-15,NA
68,U-42473*9,S-8e5fd4,2024-08-19,NA,12,2352,3,NA,2024-08-19,FALSE
69,U--9e+e469,S-69fb3%7,2024-12-20,feature@_10,6,1374,0,NA,2024-12-20,FALSE 
70,U-0b0bbc,S-d1b062,2023-11-12,_feat$ure_22,8,816 ,0,FALSE,2023-11-12,FALSE
71,#u-b0^7117,s%-e7b281,2023-01-16,NA,19,11210,0,false,2023-01-16,false
NA,U-203929,S-4635-2)5,2024-10-20,feature_27,16,832,1,NA,2024-10-20,FALSE
NA,U-9c486f,NA,2023-09-08,feature_1,16,8928,0,TRUE ,2023-09-08,FALSE
74,U-03f+160 ,S-00bb$84,2024-02-28,f$eature_33,9,2376,0,FALSE,2024-02-28,FALSE
75,U-c08e68,S-0c#63de,2023-01-15,feat^ure_10,10,1240,NA,FALSE,2023-01-15,FALSE
76,U-a446ec ,S-9dcef8,2024-01-29,feature_26 ,10,4590,0,TRUE,2024-01-29,FALSE
77,U-a%83ad0,S-606d6d,2023-05-20,feature_%40,15,165,1,FALSE,2023-05-20,FALSE
NA,&U-fd7a68,S-cd4d67,2024-11-25,feature_22,12 ,5664,0,TRUE,2024-11-25,FALSE
79,U%-477ca5,S-3ea3a^f,2024-07-30,feature_36,11,6171 ,0 ,NA,2024-07-30,FALSE
80,NA,S-7cf7c6,2023-11-28,feature_37,9,1755,0,FALSE,2023-11-28,FALSE
81,U.-d12cc7,S-3eb206,2023-06-25,feat!ure_38,11,4818 ,0,FALSE,2023-06-25,FALSE 
82,U$-d2-602(6,S-a801d1,2023-06-21,fea&ture_26,12,624,1,NA,2023-06-21,FALSE
83,NA,S-70D15D,2023-09-04,FE*ATURE_27,NA,NA,0,FALSE,NA,FALSE
84,U-e01529,S(-$29.23fc,2024-12-11,f%eatu$re_10,9,4257 ,0,FALSE,2024-12-11,FALSE
85,U-(4abe3-9,S-04fd47,NA,NA,9,1764,0,NA,2023-12-29,FALSE
86,U-92a37_d ,S-f72b84,2023-09-19,feature_30,3,1437,0,TRUE,2023-09-19,NA
87,U-e5b4b3,S-c2f2%93 ,2024-12-12 ,NA,10,1340,0,FALSE,NA,FALSE
88,U-6043b0,S-24796e,2024-03-31,NA,12,NA,0,FALSE,2024-03-31,FALSE
NA,U-9e1762,S-e3#0!1c@9,2023-06-15,feature_15,14,7952,0,FALSE,2023-06-15,FALSE
90,U-14!bb04,S-.bf806d,NA,f.e^ature._13,8,3568,NA,FALSE,2023-07-05,FALSE
91,U-291919 ,(S-f366b#3,2023-04-12 ,feature_39,8,1440,0 ,FALSE,2023-04-12,FALSE
92 ,U-f7842e,(S-65071f,NA,fe#a-ture_34,NA,1320,2,FALSE ,2023-12-28,FALSE
93,U-c5d68^8,S-9eeb7e,2024-08-09,feature_32,9,81,0,FALSE,2024-08-09,FALSE
94 ,NA,S-4e00-a0,2024-08-02,feature_7,11,4939,0 ,FALSE,NA,FALSE
95,NA,S-*dbd.6b9,2023-04-25,fe_ature)_.33,10,4520,NA,FALSE,2023-04-25,NA
96,U-9!12828,S-4793bb,NA,fe_ature+_2#4,15,5175,0,FALSE,2024-07-02,FALSE
NA,U-031f)15,S-008f3c,2024-07-17,featur*e%_6 ,6,NA,0,TRUE,2024-07-17,FALSE
98,NA,S-8b64df,2024-04-19,feature_31,12,2112,1,FALSE,2024-04-19,FALSE
99,U-!3ddaf4,$S-195f9b,2024-01-26,feature_36,13,6942,2,FALSE,2024-01-26,FALSE
100,U-e^f63a1,S-092%1a1,2024-12-26,!featu!re_@4,12,4224,0,FALSE ,2024-12-26,FALSE
101,NA,s-34b845,2024-05-05,NA,10,2260,NA,false ,2024-05-05,false 
102,u-a92.688,s)-70af6&0,2024-07-14,feature_%25,5,815 ,1,false,2024-07-14,false 
103 ,U-28d115,NA,2024-08-18,featur#e_31,NA,1629 ,0,FALSE,2024-08-18,NA
104,U-$9ec98a,S-8&a657(9,2023-10-10,feature_22 ,3,969,NA,FALSE,NA,FALSE
105,U-e377bf,S-6587d8,NA,feature_7,8,4248,0,FALSE,2024-11-04,FALSE
106,U@-b39$242,S(-969f4c,2023-06-22,NA,5 ,855,0,FALSE,2023-06-22,NA
107,&U-f67d78,NA,2023-02-25,feature_+12,9,5121,0,NA,NA,FALSE
108,NA,S-e36(cc%b ,2024-09-21,feature_19,8 ,4432,0,TRUE,2024-09-21,FALSE
109,U-!5c5044,S-42)5607,2024-10-02,&feature_15,13,1859,0,FALSE,NA,FALSE
110,U-62568A,NA,2023-03-02,FE)ATURE_1&7,15,1425,1,FALSE,2023-03-02 ,FALSE
111 ,U_-D#352F7,)S-BC7CAB,2023-10-13,FEA%T!URE_32,10,2900,0,FALSE,2023-10-13,FALSE
112,NA,S-)023#f5f,2023-05-15,^feature_34 ,11,1287,0,TRUE,2023-05-15,FALSE
113,U^-b22092,S-*d449e1,2024-03-07,f+e.ature_24,10 ,5960,0,FALSE ,2024-03-07,FALSE
114,U-)93c6a4,S-66(bae1,NA,fe%ature_13,13,195 ,2,FALSE,2024-12-28,FALSE
115,U-0947d6,S#-bcbe0)3,NA,f!eatu^re_1,7,945,0,NA,2024-10-04,FALSE
116,u-43761f,NA,2024-10-11 ,NA,8,448 ,1 ,true,2024-10-11,false
117 ,U-b01e54,S-455183,2024-12-13 ,feature_10,9,2061,0,FALSE,2024-12-13,FALSE
118,U!-3E8544,S-7D2C1B,2023-05-14,FEA+TUR^E_29,11 ,5654,0,FALSE,2023-05-14,FALSE
119,U-6b0253,S-e78c09,2023-05-11,feature_7,12,3048,2,FALSE,2023-05-11,FALSE
120,U-b4_d3$c5,#S-5d5699,2023-07-18,featur-e_3,7,966 ,0 ,FALSE,2023-07-18,FALSE
121 ,NA,S-2881e0,NA,feature_-27,11,3828,0,TRUE,2023-04-06,FALSE
122,U-6^91(b21,S-0de78^a,2024-02-21,NA,3,1230,0,TRUE,2024-02-21,FALSE
123,NA,S!-1d63-b&f,2023-01-03,feature_4,11,3927,0,FALSE,2023-01-03,FALSE
124,U-d815de,S-6b1$d.e8,2023-08-25,feature)_29,15,7080,0 ,FALSE,NA,NA
125,U-$167026,*S-a#f5ec3,2023-12-31,featu@r^e_2.6,8,824,0,FALSE ,2023-12-31,NA
126,U-65e)22$3,S@-6d4050,2023-08-18,NA,9,693,2,NA,2023-08-18,FALSE
127,U-ded235,)S--faa8!ec ,2024-10-29,feature_11,5,480 ,0,FALSE,2024-10-29,FALSE
128,U-780828,S-8FBABD,2024-11-30,F_EA@TURE_5,4,1940,NA,FALSE,2024-11-30,FALSE
129,U-fffbc1,S-51dd+23,2024-01-23,feature_39,5,230,NA,TRUE,2024-01-23,FALSE
130,@u-37266b ,NA,2024-08-19,fea!tur!e_34,NA,4332,1,false,2024-08-19 ,false
131,U-e%65$d2a,S-b%fc0f8,NA,feature_1.7 ,NA,3354,1,FALSE,2023-01-30,NA
132,U-f633de,NA,2023-10-10,feature@_5,9,3609,NA,FALSE,2023-10-10,FALSE
133,*U-709d9a,S-e2f1fd ,2023-06-16,NA,11,6446,0,FALSE,2023-06-16,FALSE
134,U-2_5ef2e,S-7b9b62,2023-07-27,featur@e_8,17,7378,1,FALSE,2023-07-27,FALSE
135,NA,S-%10fc7d,2023-01-15 ,feature_%33,NA,806,0,NA,2023-01-15,FALSE
136,U-8e343f,S-4d8633,2024-02-20,feature_+36,5,1910,0,FALSE,2024-02-20,FALSE
137 ,U-55f576,S-0+c47cb,2024-02-07,feature_30,10,460,3,FALSE,2024-02-07,FALSE
138,U-123e83,S-a5d1e+3,2023-08-28 ,NA,11 ,1771,0,FALSE,2023-08-28,NA
139,NA,S-7d0_dea,2024-08-07,feature_33,9,3672,0,FALSE,2024-08-07,FALSE
140,*U-f9497e,@S-b91501,2024-01-06,fe!ature_4 ,9,2835,0,FALSE,2024-01-06,FALSE 
141,u-)e&b4a83,s-^02d6c8,2023-10-21,NA,NA,3432,0,false,2023-10-21,false 
142,U-^4*4acf2 ,S-695c1e ,NA,@feature_28 ,13,5265,NA,FALSE,NA,FALSE
143,U-!006569,NA,2024-12-02,feature_20,9,1782,0,FALSE,2024-12-02,FALSE
144,U-d911@11,S--&3ad221,2024-08-04,NA,15,5355,1,FALSE,2024-08-04,NA
145,U-15bbd9,S-2923@fc,2023-11-06,feature_39,10,3900,0,FALSE,2023-11-06,FALSE
NA,U-5a9e42,S-c77f0c,NA,NA,5,685,1,TRUE,2024-04-09,FALSE
147,NA,S-B1C57D,2024-01-30,FE_A@TURE_9,7 ,3143,1 ,FALSE,2024-01-30,FALSE
148,U-c28b7&f,S-2ba4ee ,NA,feature_19,10,1550,0,FALSE,2023-04-01,FALSE
149,U-#faa910,S-b01b1c,2023-08-10 ,feature_27,9,1305,1,TRUE,2023-08-10 ,FALSE
150 ,U-260255,S-f28cde,2024-11-01,featur*e_36,7,2331,0,FALSE,2024-11-01,FALSE 
151,U-*bb4*8(d0,S-+16b6dc,2024-11-20,feat+ure_10,12,1296 ,0,FALSE,2024-11-20,FALSE
152,U-8c+1553,S-a916c8,2024-06-09,fe@ature_3,6 ,NA,0 ,FALSE,2024-06-09,NA
153,U-3$84a#c!e,S-a4139f,2024-08-31,feature_40,8,840,1,FALSE,2024-08-31,FALSE 
154,$U-*9e4889,S-(12f05a,2023-06-01,feature_16 ,NA,3553,0,FALSE,2023-06-01,FALSE
155,U-B24F6$0,S-7B29D1,2024-11-04,FEAT@UR^E_39,11,6479,0 ,FALSE,2024-11-04,NA
