subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
NA,A-3c1a3f,2023-12-23,2024-04-12 ,E)nterpri.se,14,2786,33432,FALSE,FALSE,FALSE ,TRUE,!monthly,TRUE 
S-0f6f44,A-9)b9fe9,2024-06-11 ,NA,NA,17,833,9996,FALSE ,NA,FALSE,FALSE,NA,TRUE 
S#-51!c0d-1,A-65*9280,2024-11-25,NA,E+nt^erprise,NA,0,NA,TRUE,TRUE ,FALSE,FALSE ,annual,NA
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Ente&r(prise,5,995 ,11940,FALSE,FALSE,FALSE,TRUE,mo-nthly,TRUE 
)S--cff5a2,NA,NA,NA,En(terprise,27,5373,64476,FALSE,FALSE,FALSE ,FALSE,)monthl!y,TRUE
S-4b9b1_3,A-f)a2041,2024-08-13,NA,NA,15,735,NA,FALSE,FALSE,FALSE,FALSE,NA,NA
NA,A-417d2f,2023-12-30 ,NA,Ente.rprise ,4,796,NA,FALSE,FALSE,FALSE,FALSE,annual,TRUE
NA,*A-5f2961,2024-12-23,NA,@Ba.sic,16,304,3648 ,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-2@4796e,A-+cc8c8f,2024-11-27,NA,Ent&erprise ,23 ,4577,54924,FALSE,FALSE,FALSE,NA,annual,NA
S-d0!c344,A-80eeb6,2024-10-27 ,NA,P(ro,NA,1078,12936,FALSE,FALSE,FALSE,FALSE,a@nnual,FALSE
NA,A)-f03^140,2024-02-06,NA,Pro,27,1323,15876,FALSE,NA,FALSE,FALSE,NA,TRUE
S-(79+a9e1,A-3a5ad8,2024-12-25,NA,Enterpri&se,22,0,0,TRUE,NA,FALSE,FALSE,a$n.nual ,TRUE
S-59DC4B ,A-F17767,2023-09-17,NA,P)RO,26,1274,15288 ,NA,TRUE,TRUE,FALSE,MONTHLY,TRUE 
S*-7acd8b,A-7920cc,2024-07-17,NA,^Basic ,39,741,8892,FALSE ,FALSE,FALSE,FALSE,annual,TRUE
S-#428e9a,-A-8ae3fc,2024-10-12,NA,E(nterpri$se,88,0,0,TRUE,FALSE,FALSE,FALSE,mo_nthly,TRUE
S%-486-088,A-0cc44+2,2024-09-18,NA,_Pro,45,2205,26460,NA,FALSE,FALSE,FALSE,monthly ,TRUE
S-13939b,A-8&690(2e,2023-07-21,2024-08-03,NA,34,0,0,TRUE,FALSE,FALSE,TRUE,monthly,TRUE
S-)9333c5,A-ef84*cf,2024-06-06 ,2024-08-13,NA,8,152,1824,FALSE,FALSE,FALSE,TRUE,NA,FALSE
S-&37e3ad,)A+-b3.0291,2024-04-25,NA,NA,5,95,1140,FALSE,FALSE,FALSE ,FALSE ,monthl!y,TRUE 
S-b1*7d0!4,A-e19ff6,2024-03-06,NA,Pro,8 ,392,4704,FALSE,FALSE,NA,FALSE,monthly,TRUE
s-c271#34,a--(dec005,2024-03-31,NA,pro,21,NA,0,true,false,false,false,.mont.hly,true
S-3bd#427,A-2e3b_ad,NA,2024-12-27,NA,61,1159,13908,NA,FALSE,FALSE,TRUE,monthl!y,TRUE
S(-82989b,A-f5641b,2024-11-30,NA,Basic,31,589,7068,NA,FALSE ,FALSE,FALSE,NA,TRUE 
S-082B1*5,A-AA9511,2024-02-09 ,NA,ENTERPRI+SE,97 ,19303,231636,FALSE ,FALSE,FALSE ,FALSE,ANNUAL ,TRUE
S-434140,A&-075038,2024-02-25 ,NA,Pro,17 ,833,9996,FALSE,NA,FALSE,FALSE,annual,TRUE 
S-c07e@de,A-cea1f0,2024-10-07,NA,P(ro,8,392,4704,NA,FALSE,NA,FALSE ,ann)ual,FALSE
S-287914,A-a1)b80b,2024-08-15,NA,Pro,16,784,9408,NA,FALSE,FALSE,FALSE,annual,TRUE
S-B3BD43,A-B22-25D,2024-11-03,NA,PRO,50 ,2450,29400,NA,FALSE,FALSE,FALSE,MONTHL*Y,FALSE
S-4c82da,NA,2024-08-01,NA,_Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,mont-hly ,FALSE
&S-C7!5159 ,A-BC*F8@7C,2024-08-22,2024-09-28,ENTERPRISE,31,6169,74028 ,FALSE,FALSE,FALSE,TRUE,MON(TH%LY,TRUE
S-b5643b,A-9f9299,2024-06-11,NA,Enterprise ,28,5572 ,66864,FALSE,NA,FALSE,FALSE,annual,NA
S-49a9aa,A-10b8f2 ,NA,NA,B)asi^c,51,969,11628,FALSE,FALSE,FALSE,FALSE ,NA,TRUE
S-287+7e6 ,A-95b2_4a,2024-06-28,NA,.Enter#pri#se,38,0,0,TRUE,TRUE,TRUE,FALSE,monthly,TRUE 
S-8c1&0c1,NA,2024-12-25 ,NA,NA,65,12935,155220,NA,FALSE,FALSE,FALSE,annual ,TRUE
S-d7d398,A-fb1(86e,NA,NA,Ent@erprise,29,0,0,TRUE,NA,FALSE,FALSE,annua^l,TRUE
NA,A-40906c,2024-06-21,NA,En.terprise ,92,0,0,TRUE,FALSE,FALSE,FALSE,NA,FALSE
S-6762fa,A-40a557,2024-02-12,NA,Enter)prise,16,3184,38208,FALSE,FALSE ,FALSE,NA,an@nual,TRUE
S-bb1cf1,A-3a5a$d8,2024-09-07,NA,Enterprise,9,0,NA,TRUE ,NA,FALSE ,FALSE,m)on%thly ,FALSE
S-a805a5,A-2789e3,2024-09-18,NA,*Basic,33,627,7524,FALSE,FALSE,FALSE,FALSE ,NA,TRUE
S-da0a69,$A-49b8.28,2023-05-11,NA,Pr^o,6,294,3528,FALSE,FALSE,FALSE,FALSE,m#onthly,TRUE
S-59c5d7,A-c16b88,2024-10-19,NA,Ba-sic,35,665,7980,FALSE,TRUE ,NA,FALSE,mon%thly,TRUE 
S-d3faae,A-5c9849,2024-11-12,NA ,NA,19,361,4332,FALSE,NA,FALSE,FALSE,monthly,TRUE
S-73a4e4,A-993085,2024-09-09,NA,P_ro,31 ,1519,18228,FALSE,FALSE,FALSE,FALSE,monthl-y,NA
S-35C8+A3,A-E4(144B,2024-12-22,NA,ENTERP$RISE,41,8159 ,97908,FALSE,FALSE,FALSE,FALSE,*ANNUA(L,TRUE
S-99f$b+f7,A-7da$cce,2024-09-10,NA,Enterprise,12,2388,NA,FALSE,NA,FALSE,FALSE,annua$l,NA
S-e97b9f,NA,2024-03-16,NA,Enterprise,12,2388,28656,FALSE,FALSE ,FALSE,FALSE,NA,TRUE 
S-763d3-3 ,A-ef84cf,2024-07-25,NA,Basic,NA,437,5244,FALSE,FALSE ,TRUE,FALSE,annual,FALSE
S-323782,A*-.79)20c^c ,2024-02-22,NA,Basic,39,741,8892,FALSE,FALSE,FALSE,NA,mon-thly,TRUE
S-1cff18,A-2789e3,2024-10-03,NA,Basic,11,209 ,2508,FALSE,FALSE ,FALSE,FALSE ,monthly,TRUE
!S-ad39ef,A!-e40f45,2024-08-25,NA,Pro,21 ,0,0,NA,TRUE,FALSE ,FALSE,ann(ual,TRUE
S-bf806d,A-7c5@768,2024-09-21 ,NA,Basic,62,1178,14136,FALSE,FALSE,FALSE,FALSE ,ann^u$al ,TRUE
$S-36f6ec ,NA,2024-08-16 ,NA,P+ro,21,1029,12348,FALSE,TRUE,FALSE,NA,NA,TRUE
S-aff55c,A-bb2f49,2024-01-14,NA,Pro,8,0,NA,TRUE,FALSE,FALSE,TRUE,mon&thly,TRUE
S(-b9-fc6c,A-2_ebb_4@b,NA,NA,Basic,41,779,9348,FALSE,FALSE,FALSE,FALSE,NA,TRUE
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,FALSE,FALSE,FALSE,TRUE,$m(onthly,TRUE
S-e_912e6,A-a8d89d,2023-12-12,NA,)Enterpris!e,NA,15522 ,186264,FALSE,FALSE,FALSE ,FALSE,mo!nthly,TRUE
S-fef85a,+A-7f8241,NA,NA,Pro,34,1666,19992 ,FALSE,NA,FALSE,FALSE,annua#l,NA
S-36d5_c9,NA,2023-09-16,NA,&Enter%prise,11,2189,26268,FALSE ,FALSE,FALSE ,FALSE,monthly,TRUE
S--b9!ff15,A-95b24a ,2024-01-08,NA,Enter)prise,43,8557,102684,FALSE ,FALSE,NA,FALSE,annual,FALSE
-S-1_0b(d09,A-bbc346,2024-09-03,NA,Basic,NA,950,11400,FALSE,FALSE,FALSE,FALSE,_annual,TRUE 
S-#12bfc8,A-31ab-9a,2024-12-06,NA,NA,29,5771,69252,FALSE,FALSE,FALSE,FALSE,mo+nthly,FALSE
S-f5c472,A-faa28c,2024-07-09,NA,NA,48,NA,10944,FALSE,NA,FALSE,FALSE,monthly,TRUE
S-dbc1c^a,A-8adedc,2024-04-24,NA,@Ent$erp&ri)s%e,NA,NA,33432,FALSE,FALSE,NA,FALSE,annual,TRUE
s-dc6dfd,NA,2024-09-30,NA,pro,67,3283,39396,false,false,false,false,NA,true
S-b2-d472,NA,2024-08-27,2024-12-11,+Ente$rp(rise,10,NA,23880,FALSE,FALSE,NA,TRUE,ann@ual,FALSE 
S-9dfce0,NA,2024-08-30,NA,Pro,NA,98,1176,FALSE,FALSE,FALSE,FALSE,*annual,TRUE
NA,A-7f29(a7,2024-12-21,NA,Basi)c,41 ,779,9348,FALSE,FALSE,NA,FALSE,NA,TRUE
NA,A-3)ce5b8,2024-09-22,NA,@Pro,28,0,0,TRUE,FALSE ,FALSE,FALSE,#mo+nthly ,TRUE
s-8c3cc8,a-b2225d,2024-10-17,NA,ba_si@c,NA,0,0,true ,false ,false,false,monthly,NA
S-2923fc ,A-fa3095,2024-07-08,NA,Enterp^ris+e,70,13930 ,167160,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-f0a2e5,A-55f257,2024-06-05,NA,NA,23,0 ,0,TRUE,FALSE ,FALSE,FALSE ,NA,TRUE
NA,!A-9affe6,2024-06-25,NA,+Pro,17,833,9996,FALSE,TRUE,NA,FALSE,NA,TRUE
S&-0e499f,A-296d7c,2024-08-17,NA,Pro,16,784,9408,FALSE,FALSE,FALSE,NA,annual ,FALSE 
s-0267b7,a-65a46c,2024-10-17,2024-12-04,enterprise,13,0,0,true,false,false,true,^mon.thly,true
S-b5b9a5,A-812c5b,2024-07-25,NA,Basic,55 ,1045,12540,FALSE,FALSE,NA,NA,NA,NA
NA,A-7f8_2&41,2023-12-13,NA,Basic,34,646,7752,FALSE,FALSE,FALSE,FALSE,ann-ual,FALSE
S-.37ed34,A-d4ac0e,NA,NA ,Enter@p(rise,20,NA,47760,NA,FALSE ,FALSE,FALSE ,annual,TRUE
S-65db@f)3,A-17939a,2024-12-28,NA,B@asic,36,684 ,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE
S-ce(5@4^50,A-0a282f ,2024-12-25,2024-12-28,Pro,8,0,0,TRUE,FALSE,NA,TRUE,annual,TRUE
S-6#c969d,A@-855a48,2024-05-08,NA,Basic,14 ,266,3192,FALSE,NA,FALSE,FALSE,m!onthl@y,FALSE
%S-522aef,#A-f3ff05,NA,NA,Pro,4,196,2352,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-82db05,A--417d2f,2024-12-09,NA,Pro,26,1274,15288 ,FALSE,FALSE,FALSE,FALSE,NA,TRUE
NA,A-462d45,2024-02-29,NA,NA,18,0 ,0,TRUE,FALSE,FALSE,FALSE,monthl!y,TRUE
S+-f703bd,A!-20$2b67,2024-09-04,NA,P@r_o,11,539,6468,FALSE,FALSE,FALSE,FALSE,monthly,TRUE 
S-a1d_6ad,NA,2024-09-01 ,NA,P-ro,27,1323,NA,FALSE,FALSE,NA,FALSE,monthly,NA
S-8b1fc(1,A-309e54,2024-12-26,NA,Basic,15,0,0 ,TRUE,NA,FALSE,FALSE,monthly,NA
S-^09cd^ac,A-+82861f,2024-07-31,2024-09-04,Basic,41,779,9348,NA,FALSE,FALSE ,TRUE,annual,TRUE
S-fa5301,^A-ba6516 ,NA,NA,Pr-o,55,0,0,TRUE,NA,FALSE,NA,monthly ,FALSE
S-69*937b,A-08e34e,2024-08-08,NA,Pr@o,14,686,8232,FALSE ,FALSE ,FALSE,FALSE,^annual,FALSE
s-f_2537d,a-e43bf7,2024-01-24,NA,pro ,44,2156,25872,false,false,false,false,month+ly,NA
NA,A-a1b80b,2024-04-03 ,NA,-Basic,38,722 ,NA,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S^-9c2b8e,A-*443f6f,2024-12-26,NA,@B!asic,19,361,4332,FALSE,TRUE,FALSE,FALSE,an$n!ual,TRUE
S-a4f26d,A-32728c,2023-05-21,NA,Pro,20 ,980 ,11760,FALSE,FALSE,FALSE,FALSE,)monthly,TRUE
S-0cb6e@d,A-a)c8^5c*d,2024-11-09,2024-12-18 ,Pro,53,2597,31164,FALSE,FALSE,FALSE,TRUE,(annual,TRUE
S-36^7d.ee,NA,2024-06-29,NA,Pro,1 ,49,588,FALSE,FALSE,FALSE,FALSE,NA,TRUE
S-3b&9a_d8,A-6e08f3,2024-12-24,NA,Enterpr-ise ,28,5572,NA,FALSE,FALSE,FALSE,FALSE,monthly,FALSE
)S-^c9f8c1,A-544d0(a,NA,NA,NA,5,995,11940,FALSE,FALSE,TRUE,NA,m!o$nthly,TRUE
!S-57cd05 ,A-8b0451,2024-10-26,NA,NA,NA,779,9348,FALSE,FALSE,NA,NA,annual,TRUE
S-e505c(1,A-8!ae3*f*c,2024-09-17,NA,Pro,34,1666 ,19992,FALSE,FALSE,FALSE,FALSE,annua!l,TRUE
S-%1@21#b4)d ,A-8ae3f(c,2024-11-22,NA,Ba@sic,9 ,171,2052,FALSE,FALSE,FALSE,FALSE,annual ,TRUE 
S-72$b4f2,A-4&43(7e4,2024-02-06,NA,Pro,49,2401,28812,NA,FALSE,FALSE ,FALSE,)annual,TRUE 
S-c%9b0cc,A*-4d1e75,2024-10-11,NA,Enterpri)se ,38,NA,90744 ,FALSE,NA,FALSE,FALSE,monthly,TRUE
s-27.c993 ,#a-098.560,2024-11-17,NA,enter$pr^ise,4,796 ,NA,false,false,false ,false,monthly,true
+S^-8b9889,A-ac9111,2024-08-18,NA,P#ro,21,1029,NA,FALSE,FALSE,NA,FALSE,m_onthl(y,TRUE
s-2214c6,a-3c1a@3f,2024-10-07,NA,pro,82,NA,48216 ,false,false,false,false,monthl+y,true
S-ce695e,A-cb6c_c6,2024-05-25,NA,Enterprise,13,0 ,0,TRUE,FALSE,FALSE,FALSE,NA,FALSE
S-066d80,A-9b9fe9,NA,NA,Pro,5,245,2940,NA,FALSE,FALSE,NA,monthly,TRUE
S-22845+7,NA,2024-05-24,NA,$Enterprise ,24,4776,57312,FALSE,FALSE,FALSE,FALSE,ann)ual,TRUE
S-!e50_612 ,A-c7e5&8@b,2024-07-15,NA,Basic,13,247,2964,FALSE,NA,FALSE,FALSE,annual ,FALSE
S-64fba3,A-00bed$1,2024-07-16,NA,Enterprise,28 ,NA,NA,FALSE,FALSE,FALSE,FALSE,annual,TRUE
s.-2372d2,a-cea1f0,2024-12-22,NA,enterprise,21,4179,50148,false,false,false,false,annual,false 
S-$2661DC,A-C$37CAB,2024-08-07,NA,PRO,20,0,0,TRUE,FALSE,FALSE,FALSE,MO.NTHLY,TRUE
NA,A-4(c38bc,2024-07-14,NA,Ent(e)r#pris-e,36,7164 ,NA,FALSE ,FALSE,FALSE,FALSE,a!n@nual,TRUE
S-628729,%A-1#57070,2024-10-05,NA,Enterprise,23,4577,54924,FALSE,FALSE,TRUE,FALSE,monthly,TRUE 
S-e260ff,A#-bcf87c,2024-12-09,NA,Enterprise,21,4179,50148 ,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-89c03a,A-8-ae*3fc,2024-09-20,NA,Pro,9,NA,5292,NA,FALSE,FALSE,FALSE,mo)nthly,TRUE
s-8@6455a,a-1b9609,2023-12-01,NA,p_ro,12,588,7056,false,NA,false,false,mo_nthly,true
S-3660bb,A-474a#d4,2024-12-14,NA,NA,10,NA,0 ,TRUE,FALSE ,FALSE,FALSE,monthl.y,FALSE
S-6bf7%d7,A-9bfc9f,2024-03-23 ,NA,Pro,53,2597,31164,FALSE,FALSE,NA,FALSE,ann_ual,FALSE
S-feccd(8 ,A+-812c5b,2024-12-22,NA,*Enterprise,55,10945,131340,FALSE,FALSE,FALSE,FALSE,mon.thly,TRUE
S-0E*4B0C,A-%39B#19F,2023-02-28,2023-06-15,P-RO,24,1176,14112,FALSE,FALSE,NA,TRUE,A*NNUAL,TRUE
S-0e0(578,A-de+58ca,2023-07-09,NA,Basic ,15 ,285,3420,NA,FALSE,FALSE,FALSE,mon+t*hly ,NA
S$-74538d,A%-e60f9d,2024-11-13,NA,NA,46 ,2254,27048,FALSE,FALSE,NA,FALSE ,an(nual ,TRUE 
S-C%2A6CB,A-9AFFE6,2023-10-19,NA,ENTERPRISE,7,1393,16716,FALSE,NA,FALSE,FALSE,ANN-UAL,FALSE
