ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0024de,A-712f1c,NA,2023-07-28 03:00:00,27,NA,74,NA,FALSE 
T-4D04B9,A-E43BF7,2024-07-08,2024-07-09 03:00:00 ,27,URG)ENT,144,NA,FALSE 
T--d5*e12f,A-0%f3e88,2024-10-17,2024-10-17 19:00:00,19,ur#gent,93,4,FALSE
T-d(fce9a,A-4c56c9,2024-09-08 ,2024-09-09 23:00:00,NA,medium,126,5,FALSE
NA,A-6f8ad2,2024-11-30 ,2024-12-01 02:00:00,NA,NA,8,NA,FALSE
T-!90f06d,A-94c3cd,2023-07-27,2023-07-27 09:00:00,9,medium ,NA,NA ,FALSE
T-30@b537,A-!2e4581,2023-09-09,2023-09-10 03:00:00,27,urgent,64,3,FALSE 
-T-#60242d,A.-727_99b,2024-01-29,2024-01-29 12:00:00,12,@low,56,4,TRUE
T-7119)c9,A-b179bf,2023-08-27,2023-08-27 16:00:00,16,u#rgent,154,NA,FALSE
T-b0edf2,&A-7cfe77,2024-05-06,NA,28,me!dium,NA,3,FALSE
T-98a84a ,A-157#0*70,2023-12-20,2023-12-21 18:00:00,42,low,26,NA,FALSE
T-0*4457d,A-8%54864,2024-07-18,2024-07-20,48,mediu_m,140 ,5,FALSE
T-6bd715,A-4e0e%85,2024-05-14 ,2024-05-16 02:00:00,50,medium,129,NA,FALSE
NA,A-5b4ebb,2023-12-05,2023-12-06 02:00:00,26,#low,121,5,FALSE
T-a32+88b,A-098560,2024-12-28,2024-12-30 07:00:00,55,low,26,3,FALSE 
T-f8e2c3,A-40a557,NA,2024-03-03 21:00:00,69,high,60,NA,FALSE
T-4e7%816,^A-05f0e5,2024-10-03,2024-10-04 12:00:00,36,low,108,NA,FALSE
T-0$dea8b,@A-671f31,2024-01-24,2024-01-26 12:00:00 ,60,NA,45,NA,FALSE
%T-ca96ba,A-410e86,2024-04-28,2024-04-28 03:00:00,3,high,64 ,NA,FALSE
#t-ac0b69,a-ac9111,2024-03-02,2024-03-02 14:00:00,14,low ,NA,NA,false
T-$0f*1c67 ,A--78%f0#2b,2024-10-09,2024-10-11 ,48,low,51,4,FALSE
_T-4fb#3+f2,A-c62e55,2023-03-05 ,2023-03-07 11:00:00,59,medium,NA,3,FALSE
NA,A-!1&58f4e,2023-12-07,2023-12-07 11:00:00,11,high,99,NA,FALSE
&T@-b_17401,_A(-50(b&b9f,2024-02-21,2024-02-21 12:00:00,12,!high,171,3,FALSE
T-462ece,A-b9f5b1,2023-07-17,2023-07-19 03:00:00,51,low,50,3,TRUE
T-0667*14,NA,2024-04-11,2024-04-12,24 ,high,52,3 ,FALSE
T-8c694d,A-883b7d ,2024-05-24,2024-05-24 15:00:00,15 ,low,39,3,NA
T-8!04c6c,A-751bd!4,NA,2024-10-30 04:00:00,28,medium,49,4,FALSE
NA,A-533452,NA,2023-09-29 08:00:00 ,56,^low,16,5 ,FALSE
T+-b@fa749 ,A-684255,NA,NA,NA,low,137,5,FALSE
T-3b24c1,A-0aaf6$e,NA,2024-06-11 06:00:00,54,high,151,3,FALSE
T-6%8c8a6,NA,2024-09-23,2024-09-23 19:00:00,19,high,34,NA ,FALSE
T-bbe374,NA,NA,2024-01-17 02:00:00,50,l*ow,155,NA,FALSE
NA,A-82d8a6,2024-11-29,2024-12-01 22:00:00,NA,high,67,3,NA
NA,A-462d45,2024-02-10,2024-02-10 18:00:00,18,high ,99,4,FALSE
NA,A-%118d55,2024-09-08,2024-09-08 14:00:00,14,medium,1,4 ,FALSE
T-5f84c5,A-1f559b,NA,2024-01-24 14:00:00,NA,high,28,NA,FALSE
(T-9bae5a ,A-7$c_fe77,2024-04-14,2024-04-14 23:00:00,23,urgent,176,5,FALSE
T-22842d,A-533452,2024-08-05,2024-08-05 08:00:00,NA,high,NA,3,FALSE
T-f8b5#8d,A-ee42db,2023-01-16,2023-01-18 09:00:00,57,$urgent,144,NA,FALSE
