subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S%-8c&ec)59,A-3c1a3f,2023-12-23,2024-04-12,NA,14,2786,33432,NA,FALSE,FALSE,TRUE,*month^ly,TRUE
#S-0f6f44,A-9!b(9fe9,NA,NA,NA,17,833,9996,FALSE,FALSE,NA,FALSE,mon_thly,TRUE
^S-51%c0d1,A-6592#80,2024-11-25,NA,Ente.rpri-se,62,0,0,TRUE,NA,FALSE ,FALSE,NA,FALSE
NA,A-e7a1e2,NA,2024-12-13,En#t&erprise,5,995 ,11940 ,FALSE,FALSE,NA,TRUE,monthly,TRUE 
S-@cff5a2,*A-ba6516,2024-01-10,NA,Enterpris)e,27,NA,64476,FALSE,FALSE,FALSE ,FALSE,monthly,TRUE
s-4b9b13,a-f@a2041,2024-08-13,NA,pro ,15,735,8820 ,false,false,false ,false ,monthl*y,true
S--dceac6,A-417d2.f,2023-12-30 ,NA,Enterprise,4,796,9552,NA,FALSE,FALSE,FALSE,a(n$nual,TRUE
S-.8cad7b,A-5f.2961,2024-12-23,NA,NA,16,304,NA,NA,FALSE,FALSE,FALSE,annual,TRUE 
S-24796e,.A-cc8c8f,2024-11-27,NA,Enterprise,23,4577,54924,FALSE,NA,FALSE,FALSE,annual,FALSE
S-d0*c344,A-80eeb6,2024-10-27,NA,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,annual,FALSE
S-477506,(A-f03140,2024-02-06,NA,Pr%o,27,1323,15876,FALSE,FALSE ,FALSE,FALSE,annual,TRUE
S-79a9e*1,$A-3a5ad8,2024-12-25,NA,Enterprise,22,0,0,TRUE,FALSE ,FALSE,NA,#ann$ual,TRUE
S-59dc4b,A-$f17_767,NA,NA,.Pro,26,1274,15288,NA,TRUE,TRUE,FALSE ,monthly,TRUE
S-7acd+8b,NA,2024-07-17 ,NA,Basic,39,741,8892,NA,FALSE,FALSE,FALSE,annua+l,TRUE
S-42*8!e9a,A-8ae3fc,2024-10-12,NA,Ent&e&rpr%ise,88,0,0,TRUE ,FALSE,FALSE,FALSE,NA,TRUE
S!-486088,%A-0cc442,2024-09-18,NA,Pr%o,45,2205,26460,NA,FALSE,FALSE,FALSE,month^ly,TRUE
NA,A-86902*e,2023-07-21,2024-08-03,Pro,34,0,0,TRUE,FALSE,NA,NA,m(onthly,TRUE
S-9333c5,A-ef84cf ,NA,2024-08-13,B.asic,8,152,1824,FALSE,FALSE,FALSE,TRUE,annual,FALSE
S-37e3ad,A-#b3&0291,NA,NA ,NA,5,95,1140,FALSE,FALSE,FALSE ,FALSE ,mon)thly,TRUE
NA,A-e19ff6,2024-03-06,NA,Pro,8,392,4704,FALSE ,FALSE,NA,FALSE,monthly,TRUE
S-C27134,A.-DEC0!05,2024-03-31,NA ,PRO,21,0,0,TRUE,FALSE,FALSE,FALSE,MONTHLY ,TRUE
S-3bd427 ,A-2#e3bad,2024-12-04,2024-12-27,NA,61,1159,13908,FALSE,FALSE,FALSE,TRUE,m.onthly,TRUE 
S-8^2989b,A-f5&641b,2024-11-30 ,NA,Basic,31 ,589,7068,FALSE,FALSE,FALSE ,NA,monthly,TRUE
s-082b&15,a-.aa9511,2024-02-09,NA,enterp^ri)se,97,19303,231636,false,false,false,false,annual,true
S-434140 ,A--075%038,2024-02-25 ,NA,Pro,17,833 ,9996,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-c#0^7ed*e,NA,2024-10-07,NA,Pr+o,8,392,4704,FALSE,FALSE,FALSE,FALSE,annual ,NA
NA,A@-!a+1b80b,2024-08-15,NA,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,annual,TRUE
S-b3bd43,A-b)22!2_5d,2024-11-03,NA,Pro,50,2450,29400 ,FALSE,FALSE,FALSE,FALSE,!mont+hly,FALSE
S-4c-82da,A-b9eed8,2024-08-01,NA,Pro,11 ,539,6468 ,FALSE,FALSE,FALSE,FALSE ,monthly,NA
S-c75159,A-bcf87c,2024-08-22 ,2024-09-28,E$nterprise,31,6169,74028,FALSE,FALSE,FALSE ,TRUE,monthly,TRUE
