ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0)024de,A-712f1c,2023-07-27,2023-07-28 03:00:00,27,high,74,NA,FALSE
NA,A-e43bf7,2024-07-08,2024-07-09 03:00:00,27,_ur@gent,144,NA,FALSE
NA,A-0&f3e8-8,2024-10-17,NA,19,^urgent,93,4,NA
T*-dfce@9a,A-@4c56c9,2024-09-08,2024-09-09 23:00:00,47,medium,126,5,FALSE
^T-c59)f77,A-6f8ad2,NA,2024-12-01 02:00:00,26,medium,8,NA,FALSE
T-@90f06d,A-94c3cd,2023-07-27,2023-07-27 09:00:00,9,+medium,60,NA,FALSE
NA,A-2e4581,2023-09-09,2023-09-10 03:00:00,27 ,urgent,64 ,3,FALSE
%T-60+242d,A-*72799b,2024-01-29,2024-01-29 12:00:00,NA,low,56,4,TRUE
T*-71$1-9c9,A-)b179bf,2023-08-27,2023-08-27 16:00:00,16,urgent ,154,NA,FALSE
NA,A-7cfe77,2024-05-06,2024-05-07 04:00:00,NA,m)edium,150,3,FALSE
T-98_a84a,A-157(070,2023-12-20 ,2023-12-21 18:00:00,42,low,26,NA ,FALSE 
T-04457d,A)-854864,NA,2024-07-20,48,medi^um,140,NA,FALSE 
T-6bd715,A_-4e0e85,2024-05-14,2024-05-16 02:00:00,50 ,m.ed)ium,129,NA,FALSE
T-13f1(b8,A-5b4ebb,2023-12-05,2023-12-06 02:00:00,26,low,121,5 ,FALSE
T-a3288b,A-0)98560,2024-12-28,2024-12-30 07:00:00,55,low ,26,3,FALSE
T-_f8e2c)3,A-40a557,2024-03-01,2024-03-03 21:00:00,69,high,60,NA,FALSE
T!-4e781@6,A-05f0e5,2024-10-03,2024-10-04 12:00:00,36,+low,108,NA,FALSE
T-0dea8b,$A-671-f#31,2024-01-24,2024-01-26 12:00:00,60,medium,45 ,3,FALSE
T-ca96ba,A-4)10e86,2024-04-28,2024-04-28 03:00:00,3,high,NA,NA,NA
T-ac0b6+9,#A-ac-911+1,2024-03-02,2024-03-02 14:00:00,14,low,86,NA,NA
T-0f1c67,A-78)f02b,NA,2024-10-11,48,low,51,4,FALSE
T-4fb3f2,A-*c62e55,2023-03-05,NA,59,medi.um ,NA,3,FALSE
T-2!b4423,A-#158f4e,2023-12-07,2023-12-07 11:00:00 ,11,high,99,NA ,FALSE
T-b!17401,A^-50bb9f,2024-02-21,2024-02-21 12:00:00,12,h)i(g-h,171 ,3,FALSE
T-462ece,A-b9f5b1,2023-07-17,2023-07-19 03:00:00,51,low,50,3,TRUE
T-066714 ,^A-b2225d,2024-04-11,NA,24,high,52,3,FALSE
